Parameters,Temporal_Block,Treatment,Time_to_1st_probe_from_start_of_EPG,Number_of_probes_to_the_1st_E1,Number_of_F_,Duration_of_1st_probe,Duration_of_2nd_probe,Duration_of_the_shortest_C_wave_before_E1,Duration_of_the_second_nonprobe_period,Total_duration_of_F_,Duration_of_nonprobe_period_before_the_1st_E,Mean_duration_of_pd,Mean_duration_of_pd-L,Mean_duration_of_pd-S,Average_number_of_pd_per_probe,Mean_duration_of_F,Time_from_start_of_EPG_to_1st_Ey,Time_from_1st_probe_to_1st_Ey,Time_from_the_beginning_of_that_probe_to_1st_Ey_,Number_of_G,Duration_of_G,Mean_duration_of_G,Number_of_probes_after_1st_E,Number_of_probes_(shorter_than_3_minutes)_after_1st_E,Number_of_E1,Number_of_E1_(longer_than_10_minutes)_followed_by_E2,Number_of_single_E1,Number_of_E2,Number_of_sustained_E2_(longer_than_10_minutes),Duration_of_1st_E,Contribution_of_E1_to_phloem_phase_(%),Duration_the_E1_followed_by_first_sustained_E2_(>10_min),Duration_the_E1_followed_by_the_first__E2,Potential_E2_index,Total_duration_of_E,Total_duration_of_E1,Total_duration_of_E1_followed_by_sustained_E2_(>10_min),Total_duration_of_E1_followed_by_E2,Total_duration_of_single_E1,Total_duration_of_E1_followed_by_E2_and_E2,Total_duration_of_E2,Mean_duration_of_E1,Mean_duration_of_E2,Number_of_probes,Number_of_C,Number_of_short_probes_(C<3_minutes),Number_of_np,Number_of_pd,Number_of_pd-L,Number_of_pd-S,Number_of_E1e,Total_duration_of_C,Total_duration_of_E1e,Total_duration_of_no_phloematic_phase,Total_duration_of_np,Total_duration_of_pd,Total_duration_of_pd-L,Total_duration_of_pd-S,Total_probing_time,Mean_duration_of_np,Mean_duration_of_C,Time_to_from_start_of_EPG_1st_sustained_E2_(10_minutes)y,Time_from_1st_probe_to_1st_sustained_E2_(10_minutes)y,Time_from_the_beginning_of_that_probe_to_1st_sustained_E2_(10_minutes)y_,Time_from_start_of_EPG_to_1st_E2y,Time_from_1st_probe_to_1st_E2y,Time_from_the_beginning_of_that_probe_to_1st_E2y,Total_duration_of_np_during_the_1st_hour,Total_duration_of_np_during_the_2nd_hour,Total_duration_of_np_during_the_3rd_hour,Total_duration_of_np_during_the_4th_hour,Total_duration_of_np_during_the_5th_hour,Total_duration_of_np_during_the_6th_hour,Number_of_pd-S_during_the_1st_hour,Number_of_pd-S_during_the_2nd_hour,Number_of_pd-S_during_the_3rd_hour,Number_of_pd-S_during_the_4th_hour,Number_of_pd-S_during_the_5th_hour,Number_of_pd-S_during_the_6th_hour,Average_duration_of_pd-S_during_the_1st_hour,Average_duration_of_pd-S_during_the_2nd_hour,Average_duration_of_pd-S_during_the_3rd_hour,Average_duration_of_pd-S_during_the_4th_hour,Average_duration_of_pd-S_during_the_5th_hour,Average_duration_of_pd-S_during_the_6th_hour,Number_of_F_during_the_1st_hour,Number_of_F_during_the_2nd_hour,Number_of_F_during_the_3rd_hour,Number_of_F_during_the_4th_hour,Number_of_F_during_the_5th_hour,Number_of_F_during_the_6th_hour,Total_duration_of_F_during_the_1st_hour,Total_duration_of_F_during_the_2nd_hour,Total_duration_of_F_during_the_3rd_hour,Total_duration_of_F_during_the_4th_hour,Total_duration_of_F_during_the_5th_hour,Total_duration_of_F_during_the_6th_hour,Number_of_probes_during_the_1st_hour,Number_of_probes_during_the_2nd_hour,Number_of_probes_during_the_3rd_hour,Number_of_probes_during_the_4th_hour,Number_of_probes_during_the_5th_hour,Number_of_probes_during_the_6th_hour,Time_from_the_beginning_of_the_1st_probe_to_first_pd_,Time_from_the_end_of_the_last_pd_to_the_end_of_the_probe,Total_duration_of_subphase_II1_fo_the_pd,Total_duration_of_subphase_II2_fo_the_pd,Total_duration_of_subphase_II3_fo_the_pd,Time_from_the_end_of_the_last_pde_to_the_end_of_the_EPG_record_(Z),Time_from_the_beginning_of_E1_to_the_end_of_the_EPG_record_(Z),Duration_of_the_longest_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2_if_it_lasts_untill_the_end_of_the_recording,%_of_probing_spent_in_C,%_of_probing_spent_in_E1,%_of_probing_spent_in_E2,%_of_probing_spent_in_F,%_of_probing_spent_in_G,%_E2_>10_min
Trial9_Ch2,Spring,Adult,17.66,1,0,25212.34,0,2658.43,,0,17.66,5.196901408,.,5.196901408,71,.,2676.09,2658.43,2658.43,0,0,.,0,0,7,0,0,7,5,7059.69,1.538822552,45.65,45.65,89.4803952,20455.25,314.77,256.72,314.77,0,20455.25,20140.48,44.96714286,2877.211429,1,7,0,1,71,0,71,0,4757.09,.,4774.75,17.66,368.98,.,368.98,25212.34,17.66,679.5842857,2721.74,2704.08,2704.08,2721.74,2704.08,2704.08,17.66,0,0,0,0,0,29,0,9,0,14,19,5.27,0,5.174444444,.,4.933571429,5.29,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,613.3,3645.85,.,.,.,3645.85,.,7014.04,0,.,18.86810189,1.248475945,79.88342217,0,0,71.42857143
Trial9_Ch7_,Spring,Larvae,40.72,6,0,22.23,1137.42,1974.02,45.99,0,15329.28,4.778947368,.,4.778947368,6.333333333,.,19284.71,19243.99,1974.02,0,0,.,0,0,1,0,0,1,1,9515.29,0.620790328,59.07,59.07,100,9515.29,59.07,59.07,59.07,0,9515.29,9456.22,59.07,9456.22,6,6,2,6,38,0,38,0,3955.43,.,19284.71,15329.28,181.6,.,181.6,13470.72,2554.88,659.2383333,19343.78,19303.06,2033.09,19343.78,19303.06,2033.09,1941.82,3600,3600,3600,2587.46,0,6,0,0,0,10,0,5.62,.,.,.,4.8,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,0,0,3,1,79.78,406.57,.,.,.,9543.09,.,9456.22,0,.,29.36316693,0.438506628,70.19832644,0,0,100
Trial10_Ch1,Spring,Control,205.02,2,0,224.04,21263.93,3373.36,4598.98,0,4804,5.517230769,.,5.517230769,9.285714286,.,8401.4,8196.38,3373.36,2,3870.33,1935.165,5,2,3,0,1,2,2,57.04,1.027134549,57.4,57.4,66.05267832,13452.96,138.18,81.14,81.14,57.04,13395.92,13314.78,46.06,6657.39,7,12,2,7,65,0,65,0,5389.39,.,15347.04,6087.32,358.62,.,358.62,22712.68,869.6171429,449.1158333,8642.18,8437.16,3614.14,8642.18,8437.16,3614.14,3375.96,1428.04,0,0,0,0,3,17,20,0,0,2,5.503333333,5.714117647,5.585,.,.,5.381818182,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,124.42,1.94,.,.,.,133.32,.,12245.78,113.12,.,23.72855163,0.60838263,58.62267245,0,17.0403933,100
Trial10_Ch7,Spring,Adult,25.85,1,0,4747.7,61.58,1892.41,206.01,0,25.85,4.69575,.,4.69575,4.8,.,1995.13,1969.28,1969.28,0,0,.,24,16,5,0,2,3,3,340.48,19.85930092,99.53,99.53,10.8421174,3530.94,701.22,307.57,307.57,393.65,3137.29,2829.72,140.244,943.24,25,30,16,26,120,0,120,0,9331.25,.,25269.06,15937.81,563.49,.,563.49,12862.19,612.9926923,311.0416667,2700.67,2674.82,2674.82,2700.67,2674.82,2674.82,25.85,771.5,130.04,846.87,3363.55,3600,33,26,34,22,5,0,4.862424242,4.772307692,4.639117647,4.485454545,4.508,.,.,.,.,.,.,.,.,.,.,.,.,.,1,12,4,11,1,0,22.62,136.22,.,.,.,14170.66,.,1471.95,206.01,.,72.5479098,5.451793202,22.00029699,0,0,100
Trial11_Ch3,Spring,Control,2204.74,18,0,43.49,70.34,3405.97,1491.21,0,10152.3,5.34673913,.,5.34673913,7.666666667,.,26488.13,24283.39,3405.97,0,0,.,0,0,1,0,0,1,1,2311.87,1.74187995,40.27,40.27,100,2311.87,40.27,40.27,40.27,0,2311.87,2271.6,40.27,2271.6,18,18,9,18,138,0,138,0,22053.67,.,26488.13,10152.3,737.85,.,737.85,18647.7,564.0166667,1225.203889,26528.4,24323.66,3446.24,26528.4,24323.66,3446.24,3556.51,604.43,3092.85,1477.9,826.21,500.14,1,24,4,14,26,23,9.58,4.930416667,5.9725,6.068571429,5.544230769,5.497826087,.,.,.,.,.,.,.,.,.,.,.,.,1,2,7,2,6,2,33.7,0.21,.,.,.,2348.04,.,2271.6,0,.,118.2648262,0.215951565,12.18166315,0,0,100
Trial11_Ch7,Spring,Adult,270.27,1,0,28529.73,0,6740.19,0,0,270.27,4.292,.,4.292,60,.,7010.46,6740.19,6740.19,1,575.71,575.71,0,0,1,0,0,1,1,21789.54,0.140296674,30.57,30.57,100,21789.54,30.57,30.57,30.57,0,21789.54,21758.97,30.57,21758.97,1,2,0,1,60,0,60,0,6164.48,.,7010.46,270.27,257.52,.,257.52,28529.73,270.27,3082.24,7041.03,6770.76,6770.76,7041.03,6770.76,6770.76,270.27,0,0,0,0,0,24,36,0,0,0,0,4.332916667,4.264722222,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,11.78,21826.34,.,.,.,21826.34,.,21758.97,,.,21.60721465,0.107151382,76.2677039,0,2.017930068,100
Trial12_Ch6,Spring,Larvae,787.67,1,0,978.58,4403.23,763.23,13.98,0,787.67,4.89495283,.,4.89495283,19.27272727,.,1550.9,763.23,763.23,1,1272.52,1272.52,10,2,7,0,2,5,3,7.58,11.39838431,419.54,0.6,25.96553939,7985.43,910.21,533.82,608.64,301.57,7683.86,7075.22,130.03,1415.044,11,18,2,11,212,0,212,0,17859.85,.,20814.57,1682.2,1037.73,.,1037.73,27117.8,152.9272727,992.2138889,10852.21,10064.54,2360.38,1551.5,763.83,763.83,801.65,90.7,350.88,0,0,97.34,31,12,47,13,13,34,5.410322581,5.255,5.031702128,5.389230769,4.603076923,4.647058824,.,.,.,.,.,.,.,.,.,.,.,.,2,2,4,1,1,2,71.62,106.34,.,.,.,379.01,.,3605.87,97.34,.,65.86024678,3.356503846,26.09068582,0,4.692563556,60
Trial13_Ch3,Spring,Larvae,69.06,4,0,98.27,40.9,1030.89,74.76,0,242.14,4.438902439,.,4.438902439,6.949152542,.,1544.32,1475.26,1030.89,0,0,.,55,35,12,0,5,7,2,57.16,13.1730836,28.42,28.87,11.4758578,3598.55,474.04,51.4,241.53,232.51,3366.04,3124.51,39.50333333,446.3585714,59,71,38,59,410,0,410,0,20131.23,.,25201.45,5070.22,1819.95,.,1819.95,23729.78,85.9359322,283.5384507,4985.79,4916.73,1962.65,1573.19,1504.13,1059.76,569.42,0,1302.37,534.96,588.81,532.3,65,45,23,54,65,58,4.803538462,4.863777778,4.457391304,4.270925926,4.602923077,4.143793103,.,.,.,.,.,.,.,.,.,.,.,.,8,1,9,10,8,9,11.21,83.3,.,.,.,19.43,.,1519.43,145.33,.,84.83529978,1.997658638,13.16704158,0,0,28.57142857
Trial13_Ch4,Spring,Larvae,1680.54,34,0,2112.81,86.01,2.9,35.52,0,3933.04,4.106233062,.,4.106233062,5.054794521,.,12765.77,11085.23,1041.68,1,39.55,39.55,39,28,8,1,4,4,0,982.4,77.57249234,0,973.92,2.813819901,1889.51,1465.74,0,1195.71,270.03,1619.48,423.77,183.2175,105.9425,73,82,52,73,369,0,369,0,20302.48,.,26910.49,6568.46,1515.2,.,1515.2,22231.54,89.97890411,247.5912195,28800,27119.46,28800,13739.69,12059.15,2015.6,1680.54,1037.74,937.63,277.13,803.99,541.58,13,33,39,39,58,54,4.282307692,4.000606061,3.871538462,4.053157895,4.065689655,4.379259259,.,.,.,.,.,.,.,.,.,.,.,.,1,16,14,6,12,10,54.35,224.74,.,.,.,106.1,.,408.78,0,.,91.32286832,6.593065528,1.906165745,0,0.177900406,0
Trial14_Ch8,Spring,Adult,16.19,21,0,189.65,949.22,1025.4,64.71,0,2100.34,4.807974684,.,4.807974684,3.761904762,.,11110.48,11094.29,1025.4,0,0,.,0,0,5,0,0,4,2,278.98,3.161147964,108.97,105.68,95.19229019,17284.86,546.4,142.32,422.92,0,17161.38,16738.46,109.28,4184.615,21,23,7,21,79,0,79,0,9414.8,.,11515.14,2100.34,379.83,.,379.83,26699.66,100.0161905,409.3391304,12495.73,12479.54,2410.65,11216.16,11199.97,1131.08,1163.93,613.79,322.62,0,0,0,17,16,30,12,4,0,5.343529412,4.685625,4.683333333,4.769166667,4.0725,.,.,.,.,.,.,.,.,.,.,.,.,.,4,8,10,1,1,1,19.01,123.67,.,.,.,12839.47,.,12805.5,0,.,35.26187225,2.046468007,62.69165974,0,0,50
