Round,PotID,Trt,Aphids,Alates
1,1,C,145,0
1,2,C,163,0
1,3,C,213,1
1,4,C,109,0
1,5,C,196,0
1,6,C,149,0
1,7,C,120,0
1,8,C,208,0
1,9,C,273,1
1,10,C,164,0
1,11,L,99,0
1,12,L,67,1
1,13,L,85,0
1,14,L,135,1
1,15,L,121,0
1,16,L,62,0
1,17,L,87,0
1,18,L,135,0
1,19,L,101,0
1,20,L,143,0
1,21,L,116,0
1,22,L,96,1
1,24,A,147,0
1,26,A,127,0
1,27,A,56,0
1,28,A,134,0
1,29,A,92,0
1,30,A,84,0
1,31,A,95,0
1,32,A,108,0
1,33,A,90,0
1,34,A,129,0
